id,domain,outcome,file
am_renewal_call_05,customer_success,renewed at same tier,data/transcripts/am_renewal_call_05.txt
am_renewal_call_06,customer_success,renewed + upsell accepted,data/transcripts/am_renewal_call_06.txt
am_renewal_call_07,customer_success,needs more time to decide,data/transcripts/am_renewal_call_07.txt
am_renewal_call_08,customer_success,renewed at same tier,data/transcripts/am_renewal_call_08.txt
am_renewal_call_09,customer_success,needs more time to decide,data/transcripts/am_renewal_call_09.txt
talent_hiring_call_01,recruitment,candidate needs more time,data/transcripts/talent_hiring_call_01.txt
talent_hiring_call_02,recruitment,counter-offer discussion scheduled,data/transcripts/talent_hiring_call_02.txt
talent_hiring_call_03,recruitment,candidate accepts,data/transcripts/talent_hiring_call_03.txt
talent_hiring_call_04,recruitment,candidate accepts,data/transcripts/talent_hiring_call_04.txt
talent_hiring_call_05,recruitment,candidate needs more time,data/transcripts/talent_hiring_call_05.txt
talent_hiring_call_06,recruitment,counter-offer discussion scheduled,data/transcripts/talent_hiring_call_06.txt
talent_hiring_call_07,recruitment,candidate accepts,data/transcripts/talent_hiring_call_07.txt
talent_hiring_call_08,recruitment,candidate accepts,data/transcripts/talent_hiring_call_08.txt
talent_hiring_call_09,recruitment,counter-offer discussion scheduled,data/transcripts/talent_hiring_call_09.txt
